Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Max Deviation
UTIL,Aaron Nesmith (21458240),Aaron Nesmith,21458240,UTIL,1400,BOS@DET 02/26/2022 12:00PM ET,BOS,1.16,0.77
CPT,Aaron Nesmith (21458240),Aaron Nesmith,21458240,CPT,2100.0,BOS@DET 02/26/2022 12:00PM ET,BOS,1.74,0.77
UTIL,Kelan Martin (21458247),Kelan Martin,21458247,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,BOS,1.23,0.82
CPT,Kelan Martin (21458247),Kelan Martin,21458247,CPT,1500.0,BOS@DET 02/26/2022 12:00PM ET,BOS,1.84,0.82
UTIL,Sam Hauser (21458246),Sam Hauser,21458246,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,BOS,1.09,0.73
CPT,Sam Hauser (21458246),Sam Hauser,21458246,CPT,1500.0,BOS@DET 02/26/2022 12:00PM ET,BOS,1.64,0.73
UTIL,Luke Kornet (21458260),Luke Kornet,21458260,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,BOS,1.46,0.97
CPT,Luke Kornet (21458260),Luke Kornet,21458260,CPT,1500.0,BOS@DET 02/26/2022 12:00PM ET,BOS,2.19,0.97
UTIL,Malik Fitts (21458262),Malik Fitts,21458262,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,BOS,1.09,0.73
CPT,Malik Fitts (21458262),Malik Fitts,21458262,CPT,1500.0,BOS@DET 02/26/2022 12:00PM ET,BOS,1.64,0.73
