Name,Own%
Jayson Tatum,1.0
Jayson Tatum,1.0
Kelly Olynyk,0.038461538461538464
Kelly Olynyk,0.038461538461538464
Cory Joseph,0.07692307692307693
Cory Joseph,0.07692307692307693
Jaylen Brown,0.9230769230769231
Jaylen Brown,0.9230769230769231
Al Horford,0.38461538461538464
Al Horford,0.38461538461538464
Robert Williams,0.5769230769230769
Robert Williams,0.5769230769230769
Saddiq Bey,0.5384615384615384
Saddiq Bey,0.5384615384615384
Cade Cunningham,0.6153846153846154
Cade Cunningham,0.6153846153846154
Jerami Grant,0.46153846153846156
Jerami Grant,0.46153846153846156
Derrick White,0.11538461538461539
Derrick White,0.11538461538461539
Isaiah Stewart,0.11538461538461539
Isaiah Stewart,0.11538461538461539
Hamidou Diallo,0.07692307692307693
Hamidou Diallo,0.07692307692307693
Marcus Smart,0.07692307692307693
Marcus Smart,0.07692307692307693
Cassius Stanley,0.15384615384615385
Cassius Stanley,0.15384615384615385
Aaron Nesmith,0.11538461538461539
Aaron Nesmith,0.11538461538461539
Kelan Martin,0.11538461538461539
Kelan Martin,0.11538461538461539
Sam Hauser,0.15384615384615385
Sam Hauser,0.15384615384615385
Luke Kornet,0.2692307692307692
Luke Kornet,0.2692307692307692
Malik Fitts,0.15384615384615385
Malik Fitts,0.15384615384615385
